LOG NAME,Boost (mani) (PSI),RPM (rpm),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Lambda 1 (AFR),Lambda target (AFR),Accel Ped. Pos. (%),Boost target (PSI),Boost (PSI),STFT 1 (-),LTFT 1 (%),WGDC 1 (%),WG distribution factor (-),MAF (g/s),Load act. (%),Amb. temp. (*F),Oil temp (*F),Lambda 2 (AFR),STFT 2 (-)
Variable NAME,BOOST,RPM,KNK1,KNK2,KNK3,KNK4,KNK5,KNK6,LAMBDA,LAMBDA_SP,Pedal,PUTSP,PUT,STFT,LTFT,WG_Final,WG_DIS,MAF,LOAD,AMBTEMP,OILTEMP,LAMBDA2,STFT2
Description,Boost Pressure,RPM,Knock Cyl 1,Knock Cyl 2,Knock Cyl 3,Knock Cyl 4,Knock Cyl 5,Knock Cyl 6,Lambda,Lambda SP,Pedal Pos,PUT SP,PUT,Short term fuel trims,Long term fuel trims,WG Pos Final,distribution factor,Airmass,LOAD,Ambient Temperature,Oil Temperature,Lambda2,Short term fuel trims 2
